gname,alias,ra,dec,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,x,x_std,y,y_std,z,z_std,R,R_std,Upec,Upec_std,Vpec,Vpec_std,Wpec,Wpec_std,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.98,0.36,-6.5,0.79,-1.0,10.0,-0.09141766739969881,0.020901593623006826,2.110050361583468,1.3881352939406622,0.004778566908974128,0.00018399850401946478,2.153959666423447,1.0184089678262416,-2.654836553531435,6.8249459572143065,-142.43201174048454,37.01057246198198,7.315019427651971,0.17470288843125406,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.33,0.44,-1.8,0.78,-10.0,10.0,-0.006172809009430542,0.0011169869070122688,2.669893901541501,0.9973154524836831,-0.012094362683325439,0.0031988264966836023,2.672401009746903,0.8930166889120186,-9.437168234005068,5.927088274265395,-6.338692665904148,43.994877778980204,13.33978381346338,0.940453234255891,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.77,0.28,-2.67,0.4,37.0,10.0,0.05252272550237491,0.03425806361651162,0.17503437261204163,5.222144925257836,0.005715582095371759,8.626537367361235e-05,1.9859114100993083,4.359390524701531,-5.850976959188998,41.58870328393341,-25.887074794382812,146.27885968216182,-19.637814786330264,18.0777644969186,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.78,0.4,-4.26,0.4,62.0,5.0,0.09088992991605178,0.008811698064542614,0.43690121580686486,0.7508186110582996,-0.0038884056745449487,0.0009182758270671523,0.6206656352797932,0.4671831052984418,42.01859239265846,61.071132717414,2.643033332446322,77.5815782075928,-48.52841377197348,5.481795772272591,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.87,0.28,-6.23,0.56,2.0,5.0,0.17932258460769884,0.1450454408437784,-2.0099422556311897,8.24325745427964,-0.043488526922161846,0.03969186772326823,2.7868777988393827,7.528855946494982,1.3680636896366942,7.04444269196896,-50.91096379340623,248.2202620828232,13.245122136024758,4.14659282101469,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.82,0.33,-3.59,0.69,-16.0,3.0,0.08965921998849263,0.13735185791232252,3.7027776925998803,6.860888244896837,-0.007192677630453038,0.019571970577031066,4.448253484973023,4.846472391268254,-18.248010021631284,19.572190431579326,-26.04991483230225,100.43234658915495,-46.067445522318,83.06266999762754,1,0
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.13,0.87,-9.36,1.24,93.0,5.0,0.3598877331574624,0.4010555032738368,0.559353761712562,8.493894363064566,0.00578122747273507,0.00022054132198074904,3.355758778429469,6.931452367845608,96.51936204203085,89.77089762826911,-102.50630285945904,362.79749460218244,-67.39905462126285,84.11290759458119,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.41,0.45,-1.69,0.5,43.0,5.0,0.5257889240690252,0.35776349247552053,4.9402618274676735,2.2053476177227864,-0.008102950688474827,0.009312576493130288,4.9869750175145,1.538445399958366,20.353977201322753,37.87788521166946,-2.0449070828117613,43.70429049458796,0.6973577580707802,4.935466491369769,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.58,0.13,-2.49,0.29,2.0,3.0,0.8627333159673511,0.10735145383297,3.0919878349803818,0.6332799670360207,0.019896553811959813,0.0017810208067551437,3.2100930743744316,0.5560077882449894,-40.56086877453878,15.7096240574975,-26.759988710147397,4.795226018286331,-9.327299941889963,2.162033958602752,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.03,0.36,-2.42,0.5,10.0,5.0,0.5234132774567464,0.05531424774536323,5.3076573083631216,0.3036927516988558,-0.004433717417487706,0.0010585996890649513,5.33340300015276,0.2960471178163408,-6.714081435553289,2.471633328430802,-23.495137681027472,2.173713056490915,4.3183050409954955,0.39831248473704006,0,0
G010.47+00.02,,272.1592875,-19.863961666666672,10.472275231547773,0.02718692730081781,0.11699999999999999,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,1.5542264651310937,0.11010442633366213,-0.2272037215166377,0.5956791601932809,0.0041666444539625895,0.0001003603633423498,1.5813424620808656,0.24957580551700664,22.081516599830362,21.42357372244803,-27.192357467560427,7.846619616936605,18.99011627486826,0.7737184222918375,1,0
G010.62-00.33,,272.57493708333334,-19.90129055555556,10.628762401846712,-0.33293427419314275,0.36200000000000004,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,0.5081394481580951,0.13384110792294418,5.473687165265859,0.7131865352784987,-0.012186789504805999,0.0046805492892891465,5.4972226516642575,0.654344816491136,-24.256640144862935,9.442703059614079,-16.34911050827739,8.23496959741692,0.5806961560267148,2.006723929814923,0,1
G010.62-00.38,,272.61901166666667,-19.930204999999997,10.623443843526003,-0.3831828909830312,0.20199999999999999,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,0.9136412596923276,0.0891770799003771,3.310440519660365,0.4754322967475078,-0.030729992411996875,0.0035444059913424543,3.4342039522459014,0.42568077004051735,-62.816675225237404,14.861335591376372,5.780157633638737,2.895921963471856,8.999246867562862,0.0786057966541785,1,0
G012.02-00.03,,273.00766666666664,-18.532166666666665,12.0253782206583,-0.031360968405016364,0.106,0.008,-4.11,0.11,-7.76,0.28,108.0,5.0,1.9651098852487028,0.15254682563669125,-1.0436497421899,0.7161158176264758,-0.005540768525575697,0.0008635369841770366,2.225053178122989,0.482244654955384,16.307047421400004,29.224389013321552,38.389715106965696,10.506230262584369,2.1834010200423686,0.44888076548657485,1,0
G015.66-00.49,,275.2489458333333,-15.552722222222224,15.665337907741975,-0.4989202772567488,0.22,0.028999999999999998,-1.16,0.24,-5.3,0.3,-4.0,5.0,1.2293520630981383,0.1781553614802667,3.797676167869809,0.6352754222157069,-0.03684542276904943,0.006148693296212758,3.9916977304212264,0.511748101153199,-19.18063946500198,3.723806007371093,-88.45109086355487,6.99064089254473,-23.574051374636063,4.61115611122273,1,0
G016.86-02.15,,277.3517020833333,-15.267816944444444,16.863852816256305,-2.158718684011113,0.426,0.092,0.32,0.49,-2.48,0.56,17.0,3.0,0.6789434942353016,0.19201607420473463,5.941726856859389,0.6334046495771484,-0.08404776620892108,0.025349105325470876,5.980391484667923,0.5553441214111426,-6.5147719695780495,10.594098111461735,-10.319922725303314,7.425308008643398,-7.924390684648875,4.492849785885735,0,0
G017.02-02.40,,277.65122124999994,-15.241217777777774,17.021111438425848,-2.4026814379453247,0.531,0.10800000000000001,0.1,0.61,-2.81,0.76,22.0,3.0,0.5521905895019132,0.14251268345616794,6.377703695264659,0.46549905675587144,-0.07470322792865464,0.02072083848462792,6.401563783305369,0.4398488473582536,4.155980234613205,5.963843734118652,-8.181852022881003,4.300989432690888,-4.663344401834742,3.2001190845393785,0,0
G019.00-00.02,,276.4365741666667,-12.379412777777777,19.00861898230549,-0.02927879524970525,0.247,0.063,-1.77,0.29,-4.0,0.42,56.0,5.0,1.316847245914608,0.5220820101195154,4.358831189639368,1.5154943938453707,0.0011325192502056115,0.0017645822675818755,4.566388433325128,0.9477572692282692,20.793874818518947,26.53017490173386,-33.422143940588484,15.212322118503591,2.2214547309938197,2.303743752502746,0,1
G019.36-00.03,,276.607415,-12.06479638888889,19.36479458120437,-0.030218659385238107,0.35200000000000004,0.069,-1.12,0.38,-2.5,0.46,27.0,3.0,0.9430179121761595,0.22574713388144657,5.498258823652707,0.6423026175421104,0.00241261056824518,0.0007590307147243236,5.57854218183926,0.5536158520118862,-2.981983613369766,11.535895885888204,-16.829020060380657,6.337514273715771,5.69625983834414,0.5668123569190567,0,0
G019.49+00.11,,276.53820458333337,-11.880931666666665,19.495878629696847,0.11540813737933625,0.326,0.1,-3.6,0.42,-8.2,1.03,121.0,5.0,1.0274125206700613,0.6518067332432419,5.279368565302495,1.8410705382013601,0.009978419098777832,0.0027883175066201506,5.392633512069883,1.1493952616819676,120.26329496978163,18.548950745611457,-46.50368410152299,45.45897030226744,-1.1599961180741394,5.956693837066412,0,1
G022.35+00.06,,277.93383291666663,-9.370093333333333,22.356498100596557,0.06636008021647362,0.231,0.10800000000000001,-1.7,0.28,-3.9,0.31,80.0,5.0,1.6230295997790365,1.8124039483794174,4.2350907479579085,4.406720475985438,0.008108194758014867,0.0028194710722683675,4.791573973274519,3.0829725993385235,27.069258272919505,57.07638450534856,-12.3880977607825,46.396335783700074,2.0980565593564204,6.720026137442941,0,1
G023.25-00.24,,278.63016541666667,-8.713140555555555,23.25666790847797,-0.2405330629180043,0.16899999999999998,0.051,-1.72,0.23,-4.09,0.28,63.0,3.0,2.327234161701693,1.1168106509835902,2.7663430985374116,2.5986000849755495,-0.022459967571535372,0.01345762608587378,3.827673405369385,1.5449254103719043,-19.678075316413793,41.232397263942886,-33.885394244984326,30.69062154315554,-2.1899800141478103,4.818745764274401,1,0
G023.43-00.18,,278.66327916666665,-8.523723611111112,23.4398747758758,-0.18234046517464125,0.17,0.032,-1.93,0.15,-4.11,0.13,97.0,3.0,2.3353958706714977,0.5179841490066187,2.794889709935978,1.1947042253025324,-0.01637968657593785,0.004871333247122299,3.6759997988233533,0.431355440062687,-1.3467797366808818,39.661511610239536,-4.929543363299302,15.041330218178086,2.709365924232201,1.1230420892734998,1,0
G023.70-00.19,,278.80150416666663,-8.29431388888889,23.70648140903539,-0.198089487895776,0.161,0.024,-3.17,0.18,-6.38,0.21,73.0,5.0,2.4933101895117913,0.41586933657223824,2.503212135932677,0.9470817013880585,-0.019308300057351242,0.004151775175358705,3.552957722250179,0.30707670887559263,48.58446810522973,13.135839158760827,-55.88757372309496,8.36099119190594,4.155023824981664,0.6158009471064031,1,0
G024.78+00.08,,279.0523391666667,-7.203011111111112,24.789784460044235,0.08328615497898524,0.15,0.016,-2.62,0.16,-5.08,0.2,111.0,3.0,2.792468253801843,0.3095987807690162,2.1350669733993364,0.6703480317890855,0.011612907959147448,0.0006684952338904627,3.5293448731005888,0.14397658503515356,6.545276888420067,23.164168460394976,-3.8579133561798926,2.935875211902184,7.79601687796508,0.04078506388577482,1,0
G024.85+00.08,,279.07661125,-7.147453888888888,24.85019363114266,0.08744403115578879,0.17600000000000002,0.016,-2.42,0.19,-5.23,0.26,111.0,5.0,2.392883112900342,0.22113021806490857,3.0145724365225988,0.47747143087810956,0.011154198446759935,0.0005148135260476758,3.848835741759504,0.2155647543936383,35.84919271516294,14.13531915446229,-5.514065807946139,1.204605677613168,1.2086177816698092,0.6433892248661686,1,0
G025.70+00.04,,279.51310416666666,-6.404219444444445,25.709476412638782,0.04382484083429205,0.098,0.028999999999999998,-2.89,0.11,-6.2,0.36,93.0,5.0,4.413777956814451,1.9320947840144809,-0.9859171752042785,4.012900656663688,0.007859910294341202,0.0009965566403327083,4.522551125458716,3.6690007974502725,-32.97368176308146,31.989282094402526,-8.504359907030377,105.77036059144353,-5.447413220133146,5.928038759273488,0,1
G027.36-00.16,,280.4627375,-5.028734166666666,27.365018755523895,-0.16583551744408356,0.125,0.042,-1.81,0.11,-4.11,0.27,92.0,3.0,3.6547265589111335,2.0189056779187635,1.1201557986187383,3.9006774527767876,-0.021627366671283156,0.01503144430052086,4.059392535142415,3.2304591209132782,-81.02553152922758,46.88133309422012,-27.339486923057592,49.68088218878426,-2.468017312500262,5.682117052594339,1,0
G029.86-00.04,W43S,281.4982116666667,-2.7518280555555554,29.86235404758307,-0.04430388038070352,0.221,0.03,-2.33,0.26,-5.47,0.31,101.0,3.0,2.2570623697831094,0.33166591196626927,4.250239510853997,0.5776620860487027,-0.0002208582524750825,0.0008529004596523109,4.812365991974776,0.3109738311648711,45.91276552303464,12.068580934224462,-4.847364119268235,1.721838530358615,-1.1998803222717864,1.34740183857771,0,1
G029.98+00.10,,281.41650916666663,-2.5757169444444443,29.981786908873673,0.10870528029669776,0.156,0.01,-0.94,0.32,-3.49,0.32,109.0,10.0,3.1972306636887993,0.20731778078246652,2.639517558187054,0.3593493969108951,0.014483586773290997,0.0005771190250888879,4.1463351483628275,0.06393227974844014,-63.2449529459177,16.42607191708675,13.7205441208136,7.057125212322464,-14.80457501884864,1.4920886159370281,0,1
G030.19-00.16,,281.7627908333333,-2.5100744444444443,30.19808488637404,-0.16914209901434926,0.212,0.01,-2.08,0.22,-3.8,0.25,108.0,3.0,2.374109783040021,0.11152718142037155,4.101933631775724,0.19163695021284882,-0.010730864666498308,0.0007663822190293915,4.739436335833526,0.10846870445496425,14.48832854578429,6.290596715308554,19.370495280012136,0.7995150669746555,10.330306287932716,0.12066856753891278,0,1
G030.22-00.18,,281.7845745833334,-2.4914805555555555,30.22456064109808,-0.18002336531163532,0.284,0.032,-0.87,0.31,-4.7,0.34,113.0,3.0,1.7724306481853989,0.20962018707481783,5.139033087843702,0.3598073505690591,-0.007254530750263999,0.00151829556828802,5.4360989211546995,0.26125993035371053,49.905771536217415,8.854661929750009,24.793855048948387,1.714765208065947,-15.184285825385972,2.709536500885061,0,1
