gname,alias,glong,glat,plx,e_plx,Upec,Vpec,Wpec,is_outlier
G009.21-00.20,,9.214501562373684,-0.20178401986576255,0.303,0.096,20.47431414145698,-2.7117659048642224,0.6380775654714572,0
G010.32-00.15,,10.322582065798148,-0.15976309095023986,0.343,0.035,-6.376149608026229,-23.15265887421461,4.303356020577942,0
G010.62-00.33,,10.628762401846714,-0.33293427419314275,0.362,0.076,-24.02324097653514,-16.120608096044833,0.5365245724906638,1
G016.86-02.15,,16.863852816256305,-2.158718684011113,0.426,0.092,-6.283086790885708,-10.058966154159151,-7.984270759748515,0
G017.02-02.40,,17.02111143842585,-2.4026814379453247,0.531,0.108,4.501687427114075,-7.8454153010552545,-4.655219854773204,0
G019.00-00.02,,19.00861898230549,-0.02927879524970525,0.247,0.063,20.957811701544642,-33.115517446317,2.196351758926183,1
G019.36-00.03,,19.364794581204375,-0.030218659385238107,0.352,0.069,-2.664807776827799,-16.482259565983355,5.677102468737509,0
G019.49+00.11,,19.495878629696847,0.11540813737933626,0.326,0.1,120.83133271078425,-48.31153174204397,-1.1385482784957688,1
G022.35+00.06,,22.35649810059656,0.06636008021647362,0.231,0.108,26.081758250325386,-12.62983079290862,1.9938148831420532,1
G025.70+00.04,,25.70947641263878,0.04382484083429205,0.098,0.029,-33.67717404519033,-7.825747827091817,-5.481389466292464,1
G029.86-00.04,W43S,29.86235404758307,-0.04430388038070352,0.221,0.03,46.208388475885535,-4.39644162927658,-1.197451520307995,1
G029.98+00.10,,29.98178690887367,0.10870528029669775,0.156,0.01,-63.76198517628208,13.962291079755715,-14.864530930267083,1
G030.19-00.16,,30.198084886374037,-0.16914209901434926,0.212,0.01,14.711685392033537,19.807272766865964,10.311786629136604,1
G030.22-00.18,,30.224560641098076,-0.18002336531163532,0.284,0.032,50.12333685902576,25.172767913943176,-15.20390414364056,1
G030.41-00.23,,30.419304146675408,-0.23203670427991155,0.253,0.021,33.722605610213755,16.614878316146758,5.848430284877676,1
G030.78+00.20,,30.788120700992007,0.2035512648483566,0.14,0.032,-66.5019866512671,-26.156045374017793,3.5165058161245897,1
G030.81-00.05,,30.817836048306496,-0.056811463681020746,0.321,0.037,67.47827287178953,7.258421481295727,0.5027142039341808,1
G032.74-00.07,,32.74399860101673,-0.07561954326359703,0.126,0.016,16.321113316618085,-58.019523866364835,8.734123476824985,1
G032.79+00.19,,32.79690274874211,0.19085880269231165,0.103,0.031,14.2801108587284,-56.739829247823906,0.956148826931047,1
G033.39+00.00,,33.39324682286976,0.009930293754734967,0.113,0.029,-51.75952108458564,-3.596418934608124,-2.021003695275361,1
G036.11+00.55,,36.11515249562877,0.552417516017583,0.246,0.056,-4.359838968639729,6.67288446143246,-0.3242287837550375,0
G037.47-00.10,,37.478995245362846,-0.10479699963239832,0.088,0.03,-17.34328610097302,24.251516510249758,-18.668109295379054,1
G038.03-00.30,,38.03751439318483,-0.30030798376774476,0.095,0.022,-7.47910654914511,17.808369234007102,-0.42658161703623065,1
G040.62-00.13,,40.62252629485976,-0.1383352018401078,0.08,0.021,-18.62728191032841,23.602277631034497,-3.058206280424443,1
G049.41+00.32,,49.41561779563076,0.32574685738368936,0.132,0.031,-16.185583493293514,-69.00401437705906,31.827587900604957,1
G049.48-00.36,W51IRS2,49.48941604341323,-0.368967603608512,0.195,0.071,0.8249412227347683,-4.821119287693222,-2.258811617652844,0
G073.65+00.19,,73.65270776749108,0.19422771072774792,0.075,0.02,20.57303075888911,54.083099059160105,-19.556612099525136,1
G074.56+00.84,IRAS20143+3634,74.5695888585289,0.8457682350457756,0.367,0.083,-2.5994897932736425,-14.248176880407613,8.398289672985829,0
G078.12+03.63,IRAS20126+4104,78.12233662267857,3.6327523931431576,0.645,0.03,-34.3764984234225,-16.826112751160963,23.126496672517497,1
