gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.4500102138375045,<pyqt_fit.kde.KDE1D object at 0x7f3bd2ed1e50>,0.3268353406953596,4.33601551989177,0.12320008959513941,<pyqt_fit.kde.KDE1D object at 0x7f3bd10e2f70>,0.0005109219860603698,0.0003635406439275596,7.463073073073066,<pyqt_fit.kde.KDE1D object at 0x7f3bd10d2fa0>,2.841995995995993,0.7289269269269267,9.198942942942935,<pyqt_fit.kde.KDE1D object at 0x7f3bd110ab80>,1.0269429429429415,4.042222222222218,8.175445445445439,<pyqt_fit.kde.KDE1D object at 0x7f3bd11d3e50>,2.8819219219219203,2.8819219219219185,8.181854854854848,<pyqt_fit.kde.KDE1D object at 0x7f3bd114a670>,0.033605605605606215,0.024440440440439914,-30.159749443832595,<scipy.stats.kde.gaussian_kde object at 0x7f3bd1114d90>,1.5261666962936609,1.7991396013217944
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.00902435984236844,<pyqt_fit.kde.KDE1D object at 0x7f3bd1680610>,0.0,0.5468443180676794,0.009170407341820789,<pyqt_fit.kde.KDE1D object at 0x7f3bd10eca90>,5.8865190344977586e-05,4.741918111123185e-05,8.117643643643635,<pyqt_fit.kde.KDE1D object at 0x7f3bd1176610>,0.3963003003002994,0.14035635635635657,8.283423423423416,<pyqt_fit.kde.KDE1D object at 0x7f3bd110ae80>,0.19742342342342312,0.7896936936936925,8.175445445445439,<pyqt_fit.kde.KDE1D object at 0x7f3bd11bda30>,0.24016016016016017,0.24016016016016017,8.180003003002996,<pyqt_fit.kde.KDE1D object at 0x7f3bd114a7f0>,0.03078078078078228,0.026840840840840485,-7.183602377532314,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11bd370>,1.1756169213034946,1.354310693341625
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.07436751805335949,<pyqt_fit.kde.KDE1D object at 0x7f3bd1680160>,0.020994898294642857,0.08274459916123951,0.053631781506485995,<pyqt_fit.kde.KDE1D object at 0x7f3bd10fd1f0>,0.00016621850886844314,0.00021608406152896775,8.123622622622616,<pyqt_fit.kde.KDE1D object at 0x7f3bd1680a90>,0.08737737737737739,0.07863963963963982,8.235729729729723,<pyqt_fit.kde.KDE1D object at 0x7f3bd10f80a0>,0.08215215215215288,0.08781781781781817,8.179199199199193,<pyqt_fit.kde.KDE1D object at 0x7f3bd1209160>,0.03089489489489594,0.030894894894894165,8.175324324324318,<pyqt_fit.kde.KDE1D object at 0x7f3bd1114b50>,0.025555555555555998,0.032692692692691594,17.60349620810692,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11bd820>,1.132502250368212,1.3684402191949232
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,,,,,0.09598648101532013,<pyqt_fit.kde.KDE1D object at 0x7f3bd10fd430>,0.0003600675808043685,0.00033237007458862544,,,,,,,,,8.178738738738732,<pyqt_fit.kde.KDE1D object at 0x7f3bd11d3d60>,0.030684684684684882,0.028342342342341453,8.178738738738732,<pyqt_fit.kde.KDE1D object at 0x7f3bd11a31c0>,0.030684684684684882,0.028342342342341453,24.99469529815968,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11bdb20>,1.369680365174073,1.340743456050678
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,2.702207191434863,<pyqt_fit.kde.KDE1D object at 0x7f3bd16807c0>,1.7729549683763877,3.8918523696067036,0.14387375710552563,<pyqt_fit.kde.KDE1D object at 0x7f3bd10fd5b0>,0.0005207703853550294,0.0005016595455254735,5.68786486486486,<pyqt_fit.kde.KDE1D object at 0x7f3bd117e400>,2.7795405405405385,1.3303783783783771,10.887371371371362,<pyqt_fit.kde.KDE1D object at 0x7f3bd10f8280>,1.8377527527527509,3.9133323323323292,10.937287287287278,<pyqt_fit.kde.KDE1D object at 0x7f3bd1209e20>,7.9553053053052984,2.4016016016016,8.179132132132125,<pyqt_fit.kde.KDE1D object at 0x7f3bd11a3880>,0.03144744744744621,0.02616216216216216,31.79679966535979,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11bdd30>,1.692313148260535,1.2586579040187722
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,,,,,0.1636209648722113,<pyqt_fit.kde.KDE1D object at 0x7f3bd1176400>,0.0005082466292443133,0.0006699614658220165,,,,,,,,,8.177891891891884,<pyqt_fit.kde.KDE1D object at 0x7f3bd11df130>,0.0396306306306311,0.026420420420420143,8.173921921921915,<pyqt_fit.kde.KDE1D object at 0x7f3bd11a3b50>,0.02589789789789876,0.032834834834833515,34.0274551751025,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11bdf40>,1.561323949733307,1.4602310321246748
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,,,,,0.3857595502514944,<pyqt_fit.kde.KDE1D object at 0x7f3bd1176970>,0.0013863286160501476,0.0013630289754442138,,,,,,,,,8.169969969969962,<pyqt_fit.kde.KDE1D object at 0x7f3bd11df550>,0.029422422422422656,0.028927927927927755,8.169969969969962,<pyqt_fit.kde.KDE1D object at 0x7f3bd11a3df0>,0.029422422422422656,0.028927927927927755,54.49277709119219,<scipy.stats.kde.gaussian_kde object at 0x7f3bd119d190>,1.9198451373108796,2.239819326862694
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,3.4091855921190057,<pyqt_fit.kde.KDE1D object at 0x7f3bd1680940>,0.28976667870768713,0.4062415201490128,1.3091830101605484,<pyqt_fit.kde.KDE1D object at 0x7f3bd1176fa0>,0.004156211863927117,0.00515086085700367,4.921285285285281,<pyqt_fit.kde.KDE1D object at 0x7f3bd117e820>,0.4374534534534531,0.31471471471471446,11.23518918918918,<pyqt_fit.kde.KDE1D object at 0x7f3bd111b4f0>,0.32614114114114123,0.43282282282282303,4.846210210210206,<pyqt_fit.kde.KDE1D object at 0x7f3bd11df790>,0.5785425425425421,7.040568568568563,8.07048648648648,<pyqt_fit.kde.KDE1D object at 0x7f3bd114afd0>,0.0258678678678681,0.03156756756756707,99.06904079486225,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11a3730>,3.968072432256065,3.6825995954031043
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,7.843183757481982,<pyqt_fit.kde.KDE1D object at 0x7f3bd1680ac0>,0.6734038391228303,0.5832631677441844,1.367033844090637,<pyqt_fit.kde.KDE1D object at 0x7f3bd117e100>,0.005069976125912312,0.004599192628506277,0.3485785785785783,<pyqt_fit.kde.KDE1D object at 0x7f3bd117ea60>,0.3385785785785783,0.45069069069069034,15.793544544544533,<pyqt_fit.kde.KDE1D object at 0x7f3bd111b8b0>,0.6858508508508514,0.5886436436436444,0.01,<pyqt_fit.kde.KDE1D object at 0x7f3bd11df9d0>,0.0,16.78447247247246,8.064250250250243,<pyqt_fit.kde.KDE1D object at 0x7f3bd11ac220>,0.02977577577577506,0.027205205205206084,100.97276041945193,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11ac2e0>,4.236456248170796,3.5736093521985026
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,6.564627981626936,<pyqt_fit.kde.KDE1D object at 0x7f3bd1176e50>,0.6459229086364786,0.7618577896737948,1.4646795370889918,<pyqt_fit.kde.KDE1D object at 0x7f3bd117e340>,0.004368681947733322,0.005988107152496314,1.665405405405404,<pyqt_fit.kde.KDE1D object at 0x7f3bd117eca0>,0.7578078078078072,0.6180180180180173,14.453688688688677,<pyqt_fit.kde.KDE1D object at 0x7f3bd111bfa0>,0.6705565565565568,0.7785275275275261,1.4501601601601588,<pyqt_fit.kde.KDE1D object at 0x7f3bd11dfc10>,1.0081121121121113,14.167575575575562,8.041947947947941,<pyqt_fit.kde.KDE1D object at 0x7f3bd11ac3a0>,0.024332332332331674,0.03258058058058033,103.37510779062093,<scipy.stats.kde.gaussian_kde object at 0x7f3bd11ac7f0>,4.153888510171882,3.9621705789331827
