gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.33903801374734793,<pyqt_fit.kde.KDE1D object at 0x7f2d08e39a30>,0.1517060511750538,5.396400963226915,0.1348616083251049,<pyqt_fit.kde.KDE1D object at 0x7f2d05fe6fd0>,0.011884267260596604,0.022353740799693655,7.66955655655655,<pyqt_fit.kde.KDE1D object at 0x7f2d08e1d880>,1.7009009009008995,0.6274434434434433,10.090360360360352,<pyqt_fit.kde.KDE1D object at 0x7f2d08e10fa0>,1.7803603603603584,4.320630630630628,8.007502502502495,<pyqt_fit.kde.KDE1D object at 0x7f2d12e99a90>,2.577017017017014,2.0206156156156148,8.240723723723717,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee4550>,0.04897397397397363,0.05516016016016145,-27.91969707920097,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e6e520>,4.2297625301579735,6.391641156683164
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.010434683257579642,<pyqt_fit.kde.KDE1D object at 0x7f2d0d270850>,0.0,1.682106214197183,0.015830567282997702,<pyqt_fit.kde.KDE1D object at 0x7f2d05fdd760>,0.006523544110151512,0.05811884752680439,8.159795795795787,<pyqt_fit.kde.KDE1D object at 0x7f2d05fdd880>,1.9311081081081056,0.11920420420420541,8.471414414414408,<pyqt_fit.kde.KDE1D object at 0x7f2d12ead190>,0.35041441441441457,2.73761261261261,8.23745745745745,<pyqt_fit.kde.KDE1D object at 0x7f2d12e99c40>,0.5344144144144138,0.5344144144144138,8.211542542542535,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee46d0>,0.05373573573573509,0.0603553553553553,-8.325955047554173,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e6e8e0>,3.2165516313204368,3.194818174352056
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.053565370007236095,<pyqt_fit.kde.KDE1D object at 0x7f2d08e49370>,0.0,0.5770510890164754,0.06496561540815296,<pyqt_fit.kde.KDE1D object at 0x7f2d08de6250>,0.011158927895596395,0.03830226602002007,7.972887887887881,<pyqt_fit.kde.KDE1D object at 0x7f2d05fe6100>,0.5239479479479474,0.2441121121121128,8.195075075075069,<pyqt_fit.kde.KDE1D object at 0x7f2d12ead3d0>,0.12507507507507576,0.7879729729729714,8.11126626626626,<pyqt_fit.kde.KDE1D object at 0x7f2d12e99dc0>,0.12820020020020095,0.12820020020019918,8.1339069069069,<pyqt_fit.kde.KDE1D object at 0x7f2d12ed3a90>,0.06576576576576443,0.04340540540540694,14.38707840864883,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e6ec70>,3.314640695295136,4.419520927060184
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,,,,,0.10662284135209354,<pyqt_fit.kde.KDE1D object at 0x7f2d08de6490>,0.010773123363367498,0.029381245536456768,,,,,,,,,8.126495495495488,<pyqt_fit.kde.KDE1D object at 0x7f2d12e26400>,0.06689189189189193,0.04509009009009013,8.126495495495488,<pyqt_fit.kde.KDE1D object at 0x7f2d12edceb0>,0.06689189189189193,0.04509009009009013,20.71495801590686,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e6ef10>,3.868992154019466,5.819744500583894
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,0.4266314694264663,<pyqt_fit.kde.KDE1D object at 0x7f2d08e495b0>,0.2824978693520212,2.9119011148592957,0.1537612489794679,<pyqt_fit.kde.KDE1D object at 0x7f2d08de6610>,0.010281137069819452,0.022918368051472543,1.43521121121121,<pyqt_fit.kde.KDE1D object at 0x7f2d08de63a0>,1.42521121121121,2.1769709709709693,9.238614614614606,<pyqt_fit.kde.KDE1D object at 0x7f2d12ead610>,1.2096146146146136,2.529194194194192,9.106066066066058,<pyqt_fit.kde.KDE1D object at 0x7f2d12e26b50>,9.096066066066058,2.7318218218218195,8.122563563563556,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee4160>,0.06653253253253233,0.04063663663663597,26.47548182548652,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e741c0>,4.091174963698862,6.937209721054586
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,6.209445003412409,<pyqt_fit.kde.KDE1D object at 0x7f2d08e49790>,2.762516841633196,9.579374947246043,0.1736040831895196,<pyqt_fit.kde.KDE1D object at 0x7f2d08df4eb0>,0.010040938118364373,0.01830994598054675,,,,,14.42516116116115,<pyqt_fit.kde.KDE1D object at 0x7f2d12ead790>,2.8209529529529522,9.555481481481472,8.097882882882876,<pyqt_fit.kde.KDE1D object at 0x7f2d12e99940>,1.1621531531531524,1.1323543543543533,8.108144144144138,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee45b0>,0.053429429429430186,0.05112312312312284,30.06543100221402,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e74490>,5.662254946891704,5.0874067289331535
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,,,,,0.3924585037725023,<pyqt_fit.kde.KDE1D object at 0x7f2d08dfd280>,0.0058329756234610786,0.009829644106202962,,,,,,,,,8.092150150150143,<pyqt_fit.kde.KDE1D object at 0x7f2d12e2d1f0>,0.05436636636636649,0.03574774774774703,8.092150150150143,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee47f0>,0.05436636636636649,0.03574774774774703,52.43756473038832,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e746d0>,7.2592297864964195,3.4646323981005622
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,2.9339297601441463,<pyqt_fit.kde.KDE1D object at 0x7f2d08e49970>,0.30672375404803187,0.5799867349271874,1.3140733552952273,<pyqt_fit.kde.KDE1D object at 0x7f2d08dfd7f0>,0.005625110108789411,0.006733708451397202,4.868112112112108,<pyqt_fit.kde.KDE1D object at 0x7f2d08de67c0>,0.8444014014014005,0.3476946946946944,10.703821821821812,<pyqt_fit.kde.KDE1D object at 0x7f2d12ebb040>,0.3398748748748748,0.642332332332332,10.840660660660651,<pyqt_fit.kde.KDE1D object at 0x7f2d12e2d430>,7.107410410410404,0.8792672672672666,7.964974974974968,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee49d0>,0.05326326326326303,0.03885085085085116,93.52244649154113,<scipy.stats.kde.gaussian_kde object at 0x7f2d12ee47c0>,4.447354384686605,5.468058669696632
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,6.758389849097105,<pyqt_fit.kde.KDE1D object at 0x7f2d08e49bb0>,0.9149521310921713,0.964218784304828,1.3713476471612034,<pyqt_fit.kde.KDE1D object at 0x7f2d08dfdb50>,0.005688687338921916,0.006624800445326651,0.2517317317317315,<pyqt_fit.kde.KDE1D object at 0x7f2d08de6a60>,0.24173173173173151,0.684482482482482,14.6811111111111,<pyqt_fit.kde.KDE1D object at 0x7f2d12ebb9d0>,0.9340740740740738,0.9843703703703692,0.01,<pyqt_fit.kde.KDE1D object at 0x7f2d12e2d670>,0.0,16.39739539539538,7.939743743743737,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee4c10>,0.03750350350350384,0.05611211211211131,97.42463198503727,<scipy.stats.kde.gaussian_kde object at 0x7f2d12ee4f70>,6.437194999501855,3.439481641890694
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,5.922850339555847,<pyqt_fit.kde.KDE1D object at 0x7f2d05fdd3d0>,0.8227944173595745,0.8639341382275543,1.4700107137813925,<pyqt_fit.kde.KDE1D object at 0x7f2d08dfdd90>,0.006286641721351627,0.006181279010937901,1.2215315315315305,<pyqt_fit.kde.KDE1D object at 0x7f2d08de6ca0>,0.7609009009009002,0.6353153153153148,13.770666666666655,<pyqt_fit.kde.KDE1D object at 0x7f2d12ebbd60>,0.8287207207207192,0.9137177177177183,0.2134614614614613,<pyqt_fit.kde.KDE1D object at 0x7f2d12e2d8b0>,0.2034614614614613,14.963665665665653,7.936227227227221,<pyqt_fit.kde.KDE1D object at 0x7f2d12ee4d90>,0.04998298298298298,0.0457927927927928,98.73865034467377,<scipy.stats.kde.gaussian_kde object at 0x7f2d12e6e2b0>,4.90743825523478,4.6826700908728895
