gname,alias,glong,glat,plx,e_plx,x,y,z,mux,e_mux,weight_mux,mux_pred,lnlike_mux,muy,e_muy,weight_muy,muy_pred,lnlike_muy,vlsr,e_vlsr,weight_vlsr,vlsr_pred,lnlike_vlsr,Upec,Vpec,Wpec,is_tooclose,is_outlier
G359.13+00.03,,359.13734970150324,0.03164965568619413,0.165,0.031,-0.08557966007720934,2.497769315305291,0.004829959383307295,-3.98,0.36,0.40500771209915665,-0.9764822919855591,-27.498171217546048,-6.5,0.79,0.8114993819220033,-2.1532831855296792,-14.345520546894937,-1.0,10.0,11.180339887498949,-1.3038975878146981,-0.00036941497551836854,-2.2783497246557154,-146.87827562033095,7.366435703234838,1,0
G359.93-00.14,,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-0.005899040647482067,2.9143313394909414,-0.011310344997299545,-1.33,0.44,0.48342680900564505,-0.7792218286232615,-0.649025830943513,-1.8,0.78,0.8052958957211818,-1.9017155023979115,-0.007976884982126781,-10.0,10.0,11.180339887498949,3.940533620409198,-0.7773539104870366,-9.488378355658773,-9.815442121432485,13.110167705305855,1,0
G000.37+00.03,,0.3758705159499473,0.03998288982206162,0.125,0.047,0.04267025301709714,1.676900904421418,0.005690772543084576,-0.77,0.28,0.32356443952694525,-1.4055450891413395,-1.929039709234158,-2.67,0.4,0.43161782461616,-2.8135812873484727,-0.055330799687913525,37.0,10.0,11.180339887498949,7.606263967389616,-3.455966871819112,33.358785472021744,10.059281327927069,-14.438141506111071,1,0
G000.67-00.03,SgrB2,0.6723936512495867,-0.031085589754245226,0.129,0.012,0.08944918607666365,0.5596627176714156,-0.0037382643248282947,-0.78,0.4,0.4232592864377201,-2.2594241212741175,-6.108610076399486,-4.26,0.4,0.4232592864377201,-4.1610136902895425,-0.02734684826027625,62.0,5.0,7.0710678118654755,14.794308653199076,-22.283772955294353,46.72763768275771,27.413924165357326,-47.63111127340231,1,0
G001.00-00.23,,1.0080088997502157,-0.2369146459410753,0.09,0.057,0.12811467209734423,0.9003181707804301,-0.029475417113803117,-3.87,0.28,0.3152428578398226,-1.9469613543831032,-18.606107093234026,-6.23,0.56,0.5784272291472962,-3.690181464050537,-9.640019741213484,2.0,5.0,7.0710678118654755,16.868084313065513,-2.2105993114042475,7.1138514965914705,-115.1607550278105,11.784249515296885,1,0
G001.14-00.12,,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.05810179639851618,5.279108437873875,-0.0026958985160111344,0.82,0.33,0.49083883968083397,-0.14709506153465557,-1.9410221613332599,-3.59,0.69,0.7798222659934938,-1.3846457285573197,-3.9988532991855563,-16.0,3.0,5.830951894845301,6.788587468846586,-7.637054688606937,-17.835023145995095,-24.793569647314342,-26.982559452734247,1,0
G002.70+00.04,,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,0.22746845337115257,3.3638418312105975,0.005708409813380146,-3.13,0.87,0.8970663692441881,-0.6111189343305727,-3.9421775211918555,-9.36,1.24,1.259137828368662,-1.72153517348373,-18.400754338675107,93.0,5.0,7.0710678118654755,17.086689994932296,-57.62830635925511,100.3946424416513,-174.58501645801806,-39.6255583617516,1,0
G009.21-00.20,,9.214501562373684,-0.20178401986576253,0.303,0.096,0.4511596433785319,5.4002962072874805,-0.006160352017356747,-0.41,0.45,0.5853610271918405,-0.19636462134343657,-0.06659915909313474,-1.69,0.5,0.6246179089292001,-1.5855646408357627,-0.013977717843704997,43.0,5.0,7.0710678118654755,22.790913283932944,-4.084071858975179,24.676949064912282,-2.5979516119529933,1.72660138339121,0,0
G009.62+00.19,,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,0.8385579086043133,3.2346016574421412,0.019495470249623108,-0.58,0.13,0.24716888164687587,-0.8338226085856244,-0.527282096595252,-2.49,0.29,0.3581793629657735,-2.193894921100062,-0.3417122894312901,2.0,3.0,5.830951894845301,49.830304461943705,-33.64320624885635,-37.874800352209576,-27.364460183167296,-8.839739982968943,1,0
G010.32-00.15,,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,0.5119707316053668,5.37048051174542,-0.004214730881936438,-1.03,0.36,0.5156358595970983,-0.2268071019382758,-1.2131751302461469,-2.42,0.5,0.62151455308982,-1.6330866050618906,-0.8015327567667968,10.0,5.0,7.0710678118654755,25.223345993960248,-2.317502632518255,-6.23981554289042,-23.132197130584984,4.401025997140398,0,0
